pango	nextstrain	WHO
B.1.1.7	20I(Alpha, V1)	Alpha 
B.1.351	20H(Beta, V2)	Beta
P.1	20J(Gamma, V3)	Gamma
B.1.617.2	21A/21I/21J	Delta
AY	21A/21I/21J	Delta
B.1.617.1	21B(Kappa)	Kappa
B.1.427	21C(Epsilon)	Epsilon
B.1.429	21C(Epsilon)	Epsilon
B.1.525	21D(Eta)	Eta
B.1.526	21F(Iota)	Iota
C.37	21G(Lambda)	Lambda
B.1.621	21H(Mu)	Mu
B.1.177	20E	uncorrelated
B.1.1.519	20B/S:732A	uncorrelated
B.1.620	20A/S:126A	uncorrelated
B.1.160	20A.EU2	uncorrelated
B.1.258	20A/S:439K	uncorrelated
B.1.221	20A/S:98F	uncorrelated
B.1.367	20C/S:80Y	uncorrelated
B.1.1.277	20B/S:626S	uncorrelated
B.1.1.302	20B/S:1122L	uncorrelated
A.1	19B	uncorrelated
A.2	19B	uncorrelated
A.3	19B	uncorrelated
A.4	19B	uncorrelated
A.5	19B	uncorrelated
A.6	19B	uncorrelated
B.3	19A	uncorrelated
B.4	19A	uncorrelated
B.5	19A	uncorrelated
B.6	19A	uncorrelated
B.7	19A	uncorrelated
B.9	19A	uncorrelated
B.10	19A	uncorrelated
B.13	19A	uncorrelated
B.16	19A	uncorrelated
B.2	19A	uncorrelated
