gene,init,end
5'UTR,1,265
ORF1ab,266,2155
gene_S,21563,25384
ORF3a,25393,26220
gene_E,26245,26472
gene_M,26523,27191
ORF6,27202,27387
ORF7a,27394,27759
ORF7b,27756,27887
ORF8,27894,28259
gene_N,28274,29533
ORF10,29558,29674
3'UTR,29675,29768
